Sunrise,,,Direct Connect Store,,,Formula,,Output
,,,,,,,,
Jewelry,Bracelets,,Fashion,Jewelry,Bracelets,,,
Jewelry,Brooches,,Fashion,Jewelry,Brooches,,,
Jewelry,Earrings,,Fashion,Jewelry,Earrings,,,
Jewelry,Jewelry Holders,,Fashion,Jewelry,Jewelry Holders,,,
Jewelry,Necklaces,,Fashion,Jewelry,Necklaces,,,
Jewelry,Pendants,,Fashion,Jewelry,Pendants,,,
Jewelry,Rings,,Fashion,Jewelry,Rings,,,
Accessories,Scarves,,Fashion,Scarves,,,,
Accessories,Bags and Handbags,,Fashion,Bags and Handbags,,,,
Accessories,Hats,,Fashion,Hats,,,,
Accessories,Luggage,,Fashion,Luggage,,,,
Accessories,Passport Holders,,Fashion,Passport Holders,,,,
Accessories,Wallets,,Fashion,Wallets,,,,
Automobile,Alarms and Security,,Automobile,Alarms and Security,,Automobile/Alarms and Security==Automobile/Alarms and Security,,Automobile/Alarms and Security==Automobile/Alarms and Security
Automobile,Auto Accessories,,Automobile,Auto Accessories,,Automobile/Auto Accessories==Automobile/Auto Accessories,,Automobile/Auto Accessories==Automobile/Auto Accessories
Automobile,Car Audio,,Automobile,Car Audio,,Automobile/Car Audio==Automobile/Car Audio,,Automobile/Car Audio==Automobile/Car Audio
Automobile,Car Video,,Automobile,Car Video,,Automobile/Car Video==Automobile/Car Video,,Automobile/Car Video==Automobile/Car Video
Automobile,GPS and Navigation,,Automobile,GPS and Navigation,,Automobile/GPS and Navigation==Automobile/GPS and Navigation,,Automobile/GPS and Navigation==Automobile/GPS and Navigation
Automobile,Radar Detectors,,Automobile,Radar Detectors,,Automobile/Radar Detectors==Automobile/Radar Detectors,,Automobile/Radar Detectors==Automobile/Radar Detectors
Bags and Travel,Bags and Backpacks,,For the Family,Bags and Travels,,Bags and Travel/Bags and Backpacks==For the Family/Bags and Travels,,Bags and Travel/Bags and Backpacks==For the Family/Bags and Travels
Bags and Travel,Luggage,,For the Family,Bags and Travels,,Bags and Travel/Luggage==For the Family/Bags and Travels,,Bags and Travel/Luggage==For the Family/Bags and Travels
Bags and Travel,Passport Holders,,For the Family,Bags and Travels,,Bags and Travel/Passport Holders==For the Family/Bags and Travels,,Bags and Travel/Passport Holders==For the Family/Bags and Travels
Bags and Travel,Wallets and Money Clips,,For the Family,Bags and Travels,,Bags and Travel/Wallets and Money Clips==For the Family/Bags and Travels,,Bags and Travel/Wallets and Money Clips==For the Family/Bags and Travels
Bath and Body,Bath and Body Gift Sets,,Bed Bath & Body,Bath & Body Gifts,,Bath and Body/Bath and Body Gift Sets==Bed Bath & Body/Bath & Body Gifts,,Bath and Body/Bath and Body Gift Sets==Bed Bath & Body/Bath & Body Gifts
Bath and Body,Bathroom Decor Sets,,Bed Bath & Body,Bathroom,,Bath and Body/Bathroom Decor Sets==Bed Bath & Body/Bathroom,,Bath and Body/Bathroom Decor Sets==Bed Bath & Body/Bathroom
Bath and Body,Electric Shavers and  Trimmers,,Bed Bath & Body,Shavers & Trimmers,,Bath and Body/Electric Shavers and  Trimmers==Bed Bath & Body/Shavers & Trimmers,,Bath and Body/Electric Shavers and  Trimmers==Bed Bath & Body/Shavers & Trimmers
Bath and Body,Head and Hair,,Bed Bath & Body,Head and Hair,,Bath and Body/Head and Hair==Bed Bath & Body/Head and Hair,,Bath and Body/Head and Hair==Bed Bath & Body/Head and Hair
Bath and Body,Health Products,,Bed Bath & Body,Bath & Body Gifts,,Bath and Body/Health Products==Bed Bath & Body/Bath & Body Gifts,,Bath and Body/Health Products==Bed Bath & Body/Bath & Body Gifts
Bath and Body,Manicure and Pedicure,,Bed Bath & Body,Bath & Body Gifts,,Bath and Body/Manicure and Pedicure==Bed Bath & Body/Bath & Body Gifts,,Bath and Body/Manicure and Pedicure==Bed Bath & Body/Bath & Body Gifts
Bath and Body,Massagers,,Bed Bath & Body,Bath & Body Gifts,,Bath and Body/Massagers==Bed Bath & Body/Bath & Body Gifts,,Bath and Body/Massagers==Bed Bath & Body/Bath & Body Gifts
Bath and Body,Shower,,Bed Bath & Body,Bath & Body Gifts,,Bath and Body/Shower==Bed Bath & Body/Bath & Body Gifts,,Bath and Body/Shower==Bed Bath & Body/Bath & Body Gifts
Bath and Body,Soaps and Salts,,Bed Bath & Body,Bath & Body Gifts,,Bath and Body/Soaps and Salts==Bed Bath & Body/Bath & Body Gifts,,Bath and Body/Soaps and Salts==Bed Bath & Body/Bath & Body Gifts
Books and More,Bookends,,For the Family,Books and More,,Books and More/Bookends==For the Family/Books and More,,Books and More/Bookends==For the Family/Books and More
Books and More,Bookmarks,,For the Family,Books and More,,Books and More/Bookmarks==For the Family/Books and More,,Books and More/Bookmarks==For the Family/Books and More
Books and More,Books,,For the Family,Books and More,,Books and More/Books==For the Family/Books and More,,Books and More/Books==For the Family/Books and More
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
Bulk Buys,Bulk Apparel,,Bulk Buys,Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel,,Bulk Buys/Bulk Apparel==Bulk Buys/Bulk Apparel
