Xsdepot,,,Direct Connect Store,,,,Formula,,Output
,,,,,,,,,
Accessories,Accessories,,Electronics,Computer Accessories,,,Accessories/Accessories==Electronics & Gadgets/Computer Accessories,,Accessories/Accessories==Electronics & Gadgets/Computer Accessories
Accessories,Bags,,Electronics,Computer Accessories,,,Accessories/Bags==Electronics & Gadgets/Computer Accessories,,Accessories/Bags==Electronics & Gadgets/Computer Accessories
Accessories,Batteries,,Electronics,Computer Accessories,,,Accessories/Batteries==Electronics & Gadgets/Computer Accessories,,Accessories/Batteries==Electronics & Gadgets/Computer Accessories
Accessories,Cables,,Electronics,Computer Accessories,,,Accessories/Cables==Electronics & Gadgets/Computer Accessories,,Accessories/Cables==Electronics & Gadgets/Computer Accessories
Accessories,CD/DVDMedia,,Electronics,Computer Accessories,,,Accessories/CD/DVDMedia==Electronics & Gadgets/Computer Accessories,,Accessories/CD/DVDMedia==Electronics & Gadgets/Computer Accessories
Accessories,MediaCases,,Electronics,Computer Accessories,,,Accessories/MediaCases==Electronics & Gadgets/Computer Accessories,,Accessories/MediaCases==Electronics & Gadgets/Computer Accessories
Accessories,Miscellaneous,,Electronics,Computer Accessories,,,Accessories/Miscellaneous==Electronics & Gadgets/Computer Accessories,,Accessories/Miscellaneous==Electronics & Gadgets/Computer Accessories
Accessories,Notebook&Tablet,,Electronics,Computer Accessories,,,Accessories/Notebook&Tablet==Electronics & Gadgets/Computer Accessories,,Accessories/Notebook&Tablet==Electronics & Gadgets/Computer Accessories
Accessories,NotebookAccessories,,Electronics,Computer Accessories,,,Accessories/NotebookAccessories==Electronics & Gadgets/Computer Accessories,,Accessories/NotebookAccessories==Electronics & Gadgets/Computer Accessories
Accessories,NotebookPowerOptions,,Electronics,Computer Accessories,,,Accessories/NotebookPowerOptions==Electronics & Gadgets/Computer Accessories,,Accessories/NotebookPowerOptions==Electronics & Gadgets/Computer Accessories
Accessories,SurgeProtectors,,Electronics,Computer Accessories,,,Accessories/SurgeProtectors==Electronics & Gadgets/Computer Accessories,,Accessories/SurgeProtectors==Electronics & Gadgets/Computer Accessories
Accessories,Tools,,Electronics,Computer Accessories,,,Accessories/Tools==Electronics & Gadgets/Computer Accessories,,Accessories/Tools==Electronics & Gadgets/Computer Accessories
Accessories,USB&Hubs,,Electronics,Computer Accessories,,,Accessories/USB&Hubs==Electronics & Gadgets/Computer Accessories,,Accessories/USB&Hubs==Electronics & Gadgets/Computer Accessories
Audio/Video,Audio-VideoCables,,Electronics,Computer Accessories,,,Audio/Video/Audio-VideoCables==Electronics & Gadgets/Computer Accessories,,Audio/Video/Audio-VideoCables==Electronics & Gadgets/Computer Accessories
Audio/Video,Headsets,,Electronics,Headphones,,,Audio/Video/Headsets==Electronics & Gadgets/Headphones,,Audio/Video/Headsets==Electronics & Gadgets/Headphones
Audio/Video,Microphones,,Electronics,Headphones,,,Audio/Video/Microphones==Electronics & Gadgets/Headphones,,Audio/Video/Microphones==Electronics & Gadgets/Headphones
Audio/Video,MP3/iPODAccessories,,Electronics,Music Accessories,,,Audio/Video/MP3/iPODAccessories==Electronics & Gadgets/Music Accessories,,Audio/Video/MP3/iPODAccessories==Electronics & Gadgets/Music Accessories
Audio/Video,MP3/MP4Players,,Electronics,MP3 and MP4 Players,,,Audio/Video/MP3/MP4Players==Electronics & Gadgets/MP3 and MP4 Players,,Audio/Video/MP3/MP4Players==Electronics & Gadgets/MP3 and MP4 Players
Audio/Video,MusicAccessories,,Electronics,Music Accessories,,,Audio/Video/MusicAccessories==Electronics & Gadgets/Music Accessories,,Audio/Video/MusicAccessories==Electronics & Gadgets/Music Accessories
Audio/Video,PhotoFrames,,Home Decor,Picture Frames,,,Audio/Video/PhotoFrames==Home Decor/Picture Frames,,Audio/Video/PhotoFrames==Home Decor/Picture Frames
Audio/Video,PortableCommunications,,Electronics,2-way Radios,,,Audio/Video/PortableCommunications==Electronics & Gadgets/2-way Radios,,Audio/Video/PortableCommunications==Electronics & Gadgets/2-way Radios
Audio/Video,Radios,,Electronics,Radios,,,Audio/Video/Radios==Electronics & Gadgets/Radios,,Audio/Video/Radios==Electronics & Gadgets/Radios
Audio/Video,Software,,Electronics,Software,,,Audio/Video/Software==Electronics & Gadgets/Software,,Audio/Video/Software==Electronics & Gadgets/Software
Audio/Video,Speakers,,Electronics,Portable Speakers,,,Audio/Video/Speakers==Electronics & Gadgets/Portable Speakers,,Audio/Video/Speakers==Electronics & Gadgets/Portable Speakers
Audio/Video,WebCams,,Electronics,Cameras & Camcorders,,,Audio/Video/WebCams==Electronics & Gadgets/Cameras & Camcorders,,Audio/Video/WebCams==Electronics & Gadgets/Cameras & Camcorders
Auto/Marine,12VAutomotiveProducts,,Automobile,Auto Accessories,,,Auto/Marine/12VAutomotiveProducts==Automobile/Auto Accessories,,Auto/Marine/12VAutomotiveProducts==Automobile/Auto Accessories
Auto/Marine,Protection,,Automobile,Auto Accessories,,,Auto/Marine/Protection==Automobile/Auto Accessories,,Auto/Marine/Protection==Automobile/Auto Accessories
Blu-Ray,Action&Adventure,,Electronics,Movies and Videos,,,Blu-Ray/Action&Adventure==Electronics & Gadgets/Movies and Videos,,Blu-Ray/Action&Adventure==Electronics & Gadgets/Movies and Videos
Blu-Ray,Comedy,,Electronics,Movies and Videos,,,Blu-Ray/Comedy==Electronics & Gadgets/Movies and Videos,,Blu-Ray/Comedy==Electronics & Gadgets/Movies and Videos
Blu-Ray,Drama,,Electronics,Movies and Videos,,,Blu-Ray/Drama==Electronics & Gadgets/Movies and Videos,,Blu-Ray/Drama==Electronics & Gadgets/Movies and Videos
Blu-Ray,ScienceFiction,,Electronics,Movies and Videos,,,Blu-Ray/ScienceFiction==Electronics & Gadgets/Movies and Videos,,Blu-Ray/ScienceFiction==Electronics & Gadgets/Movies and Videos
Blu-Ray,Thrillers,,Electronics,Movies and Videos,,,Blu-Ray/Thrillers==Electronics & Gadgets/Movies and Videos,,Blu-Ray/Thrillers==Electronics & Gadgets/Movies and Videos
Blu-Ray,TVShows,,Electronics,Movies and Videos,,,Blu-Ray/TVShows==Electronics & Gadgets/Movies and Videos,,Blu-Ray/TVShows==Electronics & Gadgets/Movies and Videos
Business&HomeOffice,Applications,,Electronics,Software,,,Business&HomeOffice/Applications==Electronics & Gadgets/Software,,Business&HomeOffice/Applications==Electronics & Gadgets/Software
Business&HomeOffice,Business&OfficeProductivity,,Electronics,Software,,,Business&HomeOffice/Business&OfficeProductivity==Electronics & Gadgets/Software,,Business&HomeOffice/Business&OfficeProductivity==Electronics & Gadgets/Software
Business&HomeOffice,Business&OfficeSuites,,Electronics,Software,,,Business&HomeOffice/Business&OfficeSuites==Electronics & Gadgets/Software,,Business&HomeOffice/Business&OfficeSuites==Electronics & Gadgets/Software
